"UniqueID","Branch","Side","BranchTransect","Genus","Sexual","Asexual","LobeLength","LobeWidth","PatchLength","PatchWidth","PatchHeight","Elevation","Slope","SlopeFacing","LatN","LongW","CoastalInland","LobeArea","PatchArea","PatchVolume"
"B1SAHL01",1,"A","1, 2","Heterodermia","N","N",7,0.5,15.5,11.5,7.5,1196,-60,"S",37.68876,122.4374,"C",3.5,178.25,1336.875
"B1SAHL02",1,"A","4, 5, 6, 7, 8","Heterodermia","N","Y",17,1.5,21,35.5,9,1196,-60,"S",37.68876,122.4374,"C",25.5,745.5,6709.5
"B1SAPP01",1,"A","7","Parmotrema","N","N",5,5.5,6.5,7,0.5,1196,-60,"S",37.68876,122.4374,"C",27.5,45.5,22.75
"B1SAPP02",1,"A","8","Parmotrema","N","N",1.5,2,4.5,3.5,0.1,1196,-60,"S",37.68876,122.4374,"C",3,15.75,1.575
"B1SAU_01",1,"A","10","Usnea","N","Y",12,0.5,10,7,10,1196,-60,"S",37.68876,122.4374,"C",6,70,700
"B1SAPP03",1,"A","10","Parmotrema","N","N",4.5,2,4.5,3,0.1,1196,-60,"S",37.68876,122.4374,"C",9,13.5,1.35
"B1SAPP04",1,"A","13","Parmotrema","N","N",5,6,7,6,0.5,1196,-60,"S",37.68876,122.4374,"C",30,42,21
"B1SBPP01",1,"B","3, 4, 5","Parmotrema","N","Y",12,13.5,8,23,5,1196,-60,"S",37.68876,122.4374,"C",162,184,920
"B1SBHL01",1,"B","4, 5","Heterodermia","N","Y",17,2,25.5,34,7,1196,-60,"S",37.68876,122.4374,"C",34,867,6069
"B1SBPP02",1,"B","6, 7","Parmotrema","N","N",3,2.5,10,9,1,1196,-60,"S",37.68876,122.4374,"C",7.5,90,90
"B1SBPP03",1,"B","12","Parmotrema","N","N",2,3,8,7,0.5,1196,-60,"S",37.68876,122.4374,"C",6,56,28
"B2SAPP01",2,"A","2, 3, 4","Parmotrema","N","N",8.5,10,20,19.5,1.5,1194,-70,"SW",37.4119,122.2616,"C",85,390,585
"B2SAPP02",2,"A","5, 6","Parmotrema","N","Y",9,6,16,11.5,3,1194,-70,"SW",37.4119,122.2616,"C",54,184,552
"B2SAHL01",2,"A","5, 6, 7, 8","Heterodermia","N","Y",9,1.5,28,18,9.5,1194,-70,"SW",37.4119,122.2616,"C",13.5,504,4788
"B2SAPP03",2,"A","13","Parmotrema","N","N",2,1,2,1,0.2,1194,-70,"SW",37.4119,122.2616,"C",2,2,0.4
"B2SAPA01",2,"A","15","Physcia","N","N",1,1,6.5,5,0.2,1194,-70,"SW",37.4119,122.2616,"C",1,32.5,6.5
"B2SAPP04",2,"A","17, 18, 19, 20, 21","Parmotrema","N","Y",7,4.5,45,21.5,4,1194,-70,"SW",37.4119,122.2616,"C",31.5,967.5,3870
"B2SAU_01",2,"A","20, 21","Usnea","N","N",8,0.3,17.5,14,8,1194,-70,"SW",37.4119,122.2616,"C",2.4,245,1960
"B2SAPP05",2,"A","22, 23, 24","Parmotrema","N","N",7.5,10,27,17,2.5,1194,-70,"SW",37.4119,122.2616,"C",75,459,1147.5
"B2SAU_02",2,"A","27, 28","Usnea","N","N",19,0.3,11,12.5,9,1194,-70,"SW",37.4119,122.2616,"C",5.7,137.5,1237.5
"B2SAPP06",3,"A","27, 28","Parmotrema","N","N",9,9.5,9.5,11,4.5,1194,-70,"SW",37.4119,122.2616,"C",85.5,104.5,470.25
"B2SAPA02",2,"A","27, 28","Physcia","N","Y",2,1,18.5,9,1,1194,-70,"SW",37.4119,122.2616,"C",2,166.5,166.5
"B2SAHL02",2,"A","29","Heterodermia","N","N",5,1.2,5.5,9,2.5,1194,-70,"SW",37.4119,122.2616,"C",6,49.5,123.75
"B2SAPA03",2,"A","30","Physcia","N","N",0.5,0.5,6.5,5,2,1194,-70,"SW",37.4119,122.2616,"C",0.25,32.5,65
"B2SAPP07",2,"A","31, 32, 33","Parmotrema","N","N",5.5,8,16,14.5,3.5,1194,-70,"SW",37.4119,122.2616,"C",44,232,812
"B2SAPA04",2,"A","36","Physcia","N","N",2.5,0.5,5,4,0.2,1194,-70,"SW",37.4119,122.2616,"C",1.25,20,4
"B2SAPP08",2,"A","37","Parmotrema","N","N",4.5,2.5,6.5,6.5,0.5,1194,-70,"SW",37.4119,122.2616,"C",11.25,42.25,21.125
"B2SAU_03",2,"A","38","Usnea","N","N",5.5,0.3,7.5,8.5,3,1194,-70,"SW",37.4119,122.2616,"C",1.65,63.75,191.25
"B2SBPP01",2,"B","2, 3, 4","Parmotrema","N","Y",7.5,4.5,22.5,19,1,1194,-70,"SW",37.4119,122.2616,"C",33.75,427.5,427.5
"B2SBHL01",2,"B","5, 6, 7, 8","Heterodermia","N","Y",9.5,1,28,22.5,9.5,1194,-70,"SW",37.4119,122.2616,"C",9.5,630,5985
"B2SBPP02",2,"B","8, 9, 10","Parmotrema","N","N",9,4.5,19.5,18.5,2,1194,-70,"SW",37.4119,122.2616,"C",40.5,360.75,721.5
"B2SBMS01",2,"B","20","Melanelixia","N","N",3,2.5,6,5.5,0.5,1194,-70,"SW",37.4119,122.2616,"C",7.5,33,16.5
"B2SBPP03",2,"B","22, 23, 24","Parmotrema","N","N",6,3.5,21.5,21,2.5,1194,-70,"SW",37.4119,122.2616,"C",21,451.5,1128.75
